Conductivity (mS/cm),Time (sec)
11.19 ,0.00
10.44 ,5.00
10.20 ,10.00
9.902 ,15.00
9.576 ,20.00
9.293 ,25.00
8.999 ,30.00
8.784 ,35.00
8.560 ,40.00
8.339 ,45.00
8.151 ,50.00
7.971 ,55.00
7.810 ,60.00
7.658 ,65.00
7.512 ,70.00
7.377 ,75.00
7.253 ,80.00
7.156 ,85.00
7.044 ,90.00
6.940 ,95.00
6.855 ,100.00
6.759 ,105.00
6.676 ,110.00
6.593 ,115.00
6.516 ,120.00
6.441 ,125.00
6.372 ,130.00
6.307 ,135.00
6.247 ,140.00
6.183 ,145.00
6.125 ,150.00
6.067 ,155.00
6.013 ,160.00
5.956 ,165.00
5.922 ,170.00
5.876 ,175.00
5.826 ,180.00
5.791 ,185.00
5.740 ,190.00
5.693 ,195.00
5.657 ,200.00
5.609 ,205.00
5.577 ,210.00
5.544 ,215.00
5.513 ,220.00
5.479 ,225.00
5.447 ,230.00
5.431 ,235.00
5.403 ,240.00
5.379 ,245.00
5.351 ,250.00
5.323 ,255.00
5.286 ,260.00
5.269 ,265.00
5.232 ,270.00
5.217 ,275.00
5.189 ,280.00
5.156 ,285.00
5.145 ,290.00
5.128 ,295.00
5.107 ,300.00
5.090 ,305.00
5.070 ,310.00
5.046 ,315.00
5.037 ,320.00
5.014 ,325.00
4.994 ,330.00
4.980 ,335.00
4.970 ,340.00
4.955 ,345.00
4.941 ,350.00
4.931 ,355.00
4.906 ,360.00
4.896 ,365.00
4.881 ,370.00
4.867 ,375.00
4.857 ,380.00
4.847 ,385.00
4.832 ,390.00
4.817 ,395.00
4.805 ,400.00
4.795 ,405.00
4.783 ,410.00
4.772 ,415.00
4.760 ,420.00
4.745 ,425.00
4.733 ,430.00
4.723 ,435.00
4.714 ,440.00
4.701 ,445.00
4.691 ,450.00
4.687 ,455.00
4.673 ,460.00
4.663 ,465.00
4.652 ,470.00
4.641 ,475.00
4.632 ,480.00
4.620 ,485.00
4.616 ,490.00
4.614 ,495.00
4.597 ,500.00
4.593 ,505.00
4.582 ,510.00
4.572 ,515.00
4.580 ,520.00
4.568 ,525.00
4.561 ,530.00
4.551 ,535.00
4.541 ,540.00
4.538 ,545.00
4.528 ,550.00
4.525 ,555.00
4.521 ,560.00
4.506 ,565.00
4.502 ,570.00
4.499 ,575.00
4.493 ,580.00
4.486 ,585.00
4.480 ,590.00
4.471 ,595.00
4.468 ,600.00
4.454 ,605.00
4.454 ,610.00
4.447 ,615.00
4.439 ,620.00
4.434 ,625.00
4.434 ,630.00
4.430 ,635.00
4.425 ,640.00
4.417 ,645.00
4.410 ,650.00
4.405 ,655.00
4.397 ,660.00
4.394 ,665.00
4.388 ,670.00
4.383 ,675.00
4.381 ,680.00
4.376 ,685.00
4.371 ,690.00
4.368 ,695.00
4.363 ,700.00
4.360 ,705.00
4.354 ,710.00
4.348 ,715.00
4.345 ,720.00
4.340 ,725.00
4.336 ,730.00
4.333 ,735.00
4.329 ,740.00
4.321 ,745.00
4.321 ,750.00
4.313 ,755.00
4.311 ,760.00
4.306 ,765.00
4.304 ,770.00
4.299 ,775.00
4.297 ,780.00
4.295 ,785.00
4.290 ,790.00
4.287 ,795.00
4.283 ,800.00
4.280 ,805.00
4.276 ,810.00
4.272 ,815.00
4.269 ,820.00
4.266 ,825.00
4.265 ,830.00
4.260 ,835.00
4.257 ,840.00
4.253 ,845.00
4.249 ,850.00
4.245 ,855.00
4.245 ,860.00
4.243 ,865.00
4.239 ,870.00
4.237 ,875.00
4.234 ,880.00
4.232 ,885.00
4.228 ,890.00
4.224 ,895.00
4.222 ,900.00
4.218 ,905.00
4.216 ,910.00
4.213 ,915.00
4.212 ,920.00
4.208 ,925.00
4.207 ,930.00
4.204 ,935.00
4.202 ,940.00
4.198 ,945.00
4.195 ,950.00
4.193 ,955.00
4.189 ,960.00
4.187 ,965.00
4.185 ,970.00
4.183 ,975.00
4.182 ,980.00
4.179 ,985.00
4.176 ,990.00
4.174 ,995.00
4.170 ,1000.00
4.170 ,1005.00
4.169 ,1010.00
4.164 ,1015.00
4.163 ,1020.00
4.160 ,1025.00
4.158 ,1030.00
4.155 ,1035.00
4.153 ,1040.00
4.152 ,1045.00
4.150 ,1050.00
4.147 ,1055.00
4.144 ,1060.00
4.142 ,1065.00
4.142 ,1070.00
4.140 ,1075.00
4.139 ,1080.00
4.137 ,1085.00
4.135 ,1090.00
4.133 ,1095.00
4.130 ,1100.00
4.129 ,1105.00
4.127 ,1110.00
4.125 ,1115.00
4.124 ,1120.00
4.123 ,1125.00
4.118 ,1130.00
4.117 ,1135.00
4.117 ,1140.00
4.113 ,1145.00
4.112 ,1150.00
4.109 ,1155.00
4.108 ,1160.00
4.106 ,1165.00
4.104 ,1170.00
4.103 ,1175.00
4.103 ,1180.00
4.100 ,1185.00
4.100 ,1190.00
4.098 ,1195.00
4.100 ,1200.00
4.100 ,1205.00
4.099 ,1210.00
4.097 ,1215.00
4.096 ,1220.00
4.096 ,1225.00
4.093 ,1230.00
4.090 ,1235.00
4.089 ,1240.00
4.088 ,1245.00
4.088 ,1250.00
4.085 ,1255.00
4.084 ,1260.00